Gender,Geographic Region,Loyalty Status,Affluence,Age,Purchased Organics
Unknown,Midlands,Gold,10.0,76.0,0
Unknown,Midlands,Gold,4.0,49.0,0
Female,Midlands,Silver,5.0,70.0,1
Male,Midlands,Tin,10.0,65.0,1
Female,Midlands,Tin,11.0,68.0,0
Unknown,North,Platinum,9.0,72.0,0
Female,Midlands,Tin,11.0,74.0,0
Male,North,Tin,13.0,62.0,0
Male,Midlands,Silver,10.0,62.0,0
Female,North,Gold,7.0,60.0,0
Female,Midlands,Silver,9.0,51.0,0
Female,South East,Tin,6.0,64.0,0
Female,South East,Tin,16.0,37.0,1
Male,Midlands,Silver,8.0,54.0,0
Female,Midlands,Gold,5.0,70.0,0
Female,Midlands,Silver,9.0,66.0,0
Female,Midlands,Gold,9.0,74.0,0
Male,South East,Silver,7.0,66.0,0
Female,South East,Tin,6.0,46.0,0
Male,Midlands,Tin,10.0,39.0,0
Male,Midlands,Silver,7.0,75.0,0
Male,North,Tin,7.0,43.0,1
Female,Midlands,Gold,7.0,62.0,0
Male,South West,Silver,8.0,37.0,1
Female,South East,Tin,9.0,49.0,0
Female,Midlands,Gold,3.0,50.0,0
Female,Midlands,Silver,15.0,35.0,1
Female,Midlands,Silver,10.0,71.0,0
Female,North,Silver,7.0,44.0,0
Male,North,Tin,8.0,42.0,0
Female,South West,Gold,9.0,68.0,1
Female,North,Tin,9.0,31.0,0
Female,South East,Gold,8.0,70.0,0
Female,North,Platinum,7.0,72.0,0
Male,Midlands,Tin,12.0,41.0,0
Female,North,Gold,9.0,37.0,1
Female,North,Gold,8.0,58.0,0
Female,South East,Silver,7.0,47.0,0
Male,Midlands,Silver,8.0,71.0,0
Female,Midlands,Silver,8.0,62.0,1
Unknown,Midlands,Gold,15.0,72.0,0
Female,Midlands,Silver,8.0,39.0,1
Male,Midlands,Gold,6.0,76.0,0
Female,Scottish,Gold,7.0,61.0,1
Male,North,Silver,8.0,60.0,1
Female,South East,Tin,15.0,42.0,1
Female,Midlands,Silver,10.0,57.0,0
Male,Midlands,Tin,6.0,45.0,0
Female,Midlands,Silver,11.0,75.0,1
Female,North,Tin,8.0,37.0,1
Unknown,South West,Silver,13.0,61.0,0
Female,North,Tin,19.0,39.0,1
Male,Midlands,Silver,7.0,55.0,0
Male,Scottish,Gold,8.0,57.0,0
Female,South East,Gold,13.0,18.0,0
Unknown,North,Silver,5.0,56.0,0
Female,North,Gold,9.0,50.0,0
Unknown,North,Platinum,11.0,67.0,0
Female,Midlands,Silver,7.0,78.0,0
Female,Midlands,Tin,5.0,61.0,0
Female,South East,Silver,11.0,66.0,0
Unknown,North,Gold,2.0,51.0,0
Male,Midlands,Silver,9.0,48.0,0
Female,South East,Silver,8.0,53.0,0
Unknown,Midlands,Gold,10.0,72.0,1
Female,South East,Tin,9.0,68.0,0
Female,Scottish,Tin,8.0,47.0,0
Female,South East,Silver,11.0,39.0,1
Female,South East,Tin,12.0,72.0,0
Male,South East,Gold,10.0,67.0,0
Female,South East,Tin,9.0,60.0,0
Male,North,Tin,11.0,52.0,0
Female,Midlands,Tin,7.0,55.0,0
Male,South East,Gold,14.0,65.0,0
Male,South East,Tin,13.0,41.0,1
Female,Midlands,Silver,16.0,34.0,1
Female,North,Silver,6.0,40.0,1
Female,South East,Tin,9.0,35.0,1
Male,North,Silver,7.0,50.0,0
Male,Midlands,Gold,9.0,60.0,0
Female,North,Gold,8.0,49.0,0
Male,Midlands,Silver,6.0,57.0,0
Unknown,Midlands,Platinum,7.0,52.0,0
Male,Scottish,Gold,6.0,75.0,0
Female,North,Silver,8.0,52.0,1
Female,Midlands,Gold,12.0,74.0,0
Female,South East,Silver,9.0,79.0,0
Female,North,Silver,3.0,38.0,1
Female,North,Silver,9.0,58.0,0
Male,Midlands,Silver,4.0,52.0,0
Female,North,Silver,3.0,45.0,0
Female,North,Silver,9.0,42.0,0
Unknown,Midlands,Silver,10.0,40.0,0
Female,South East,Tin,11.0,27.0,1
Female,North,Tin,4.0,60.0,0
Unknown,South East,Silver,7.0,58.0,0
Male,North,Tin,7.0,42.0,0
Female,South East,Tin,4.0,57.0,0
Female,Midlands,Gold,10.0,72.0,0
